荧光分子摩根,溶剂摩根,λabs (nm)
0100000000000001000000000000000001000000000000001000000000000000100000000000000010000000000000100000000000000000000010000000000000000010100000000000100000000000000000000000000100000000000000000000000000000000000000000001000000000001000100000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001010000000001000001000000001000000010000000001000000100000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000100000010000001000000001000000000000000000000000000000010001000001000000000000000000000000100000000000000010000110000000010000000000000010000000000000010000000000001000000000000001000000000101000000000000000001000000000000000000000000000000000000010000100000000000100000000000000000000000000001000000001000000000000000000000000000000000000000000000010000000100001000000000000000000000000010000000000000000000000000000000000000010000000000000100000000001000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,537
0000000000001001000000000000000001000000000000000000000000000000100000000000010010001000000000100000000000000000000010000000000000000010100000000000100000000000000000000000000100000000000000000000001000000000000000000000000000000001000100000000001000000000010000000000000000000100000000000000010000000000000010000000000000100000100000010000000000000000001010000000001000001000000000000000010000000100000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000001010000001000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000110000000010000000000000000000100000000010000000000010000000000000001000000000100000000000000000000000000000000000000000100000000000000010000100000000000100000000000000000000000000001000000011000000000000000000000000000000000000000000000010000000100001000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000010000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,532
0000000000000001000000000001000001000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000010000000000000000001000000000000000000000010000000000110000000000001000000011100000100100000100000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000001010000010000000000000000000000000000000000000000010000000000100000000000001001000000000000000000100000000000000000000000000000000000000000000000000000000000001001000000000000000000001001000000000000001000101000001000100000000010000100000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000001000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,654
0000000000000000000001000100100001001000001000000000000000000000100000001000100010001000010010000000000000000000000000000000000000000000100000000000000000000000001001000000000100001000000000001000000000000000000000000000000000000000000000000000000000100001001000000000000000000000000000000000001000100000000000000010000000000000000000000000000000000000100010000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000100100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010001000000000000000000000000000000000000000010000000000000000000010000010000001000000000100000010000000000000100000000000000000000000000000001000000000000000000010000000000000000000000000000000000000010100000000000000001000000000000000000010000000000100000000010001000000000000000000000000010010010000000000000010000000100000000000000000000000000010000000100000000000000010001000000000001000000010000000000000100000000000000100000000000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,650
0000000000000000000001000100100001001000001000000000000000000000100000001000100010001000010010000000000000000000000000000000000000000000100000000000000000000000000001000000000000011000000000001000000000000000000000000000000000000000000000000000000010100001001000000000000000000000000000000100001000100000000000000010000000000000000000000000000000000000100010000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000010000000000100100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000010001000000000000000000000000000000000000000010000000000000000000010000010000001000000000100000010000000000000100000000000000000000000000000001000000000000000000110000000000000000000000000000000000000010100000000000000001001000000000000000010000000000100000000010001000000000000000000000000010010010000000000000010000000100000000000000000000000000010000000100000000000000010001000000000001000000010000000000000100000000000000100000000000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,650
0000000000000000000001000100100001001000001000000000000000000000100000001000100010001000010010000000000000000000000000000000000000000000100000000000000000000000000001000000000000001000000000001000000000000000000000000000000000000000000000000000000010100001001000000000000000000000000000000000001000100000000000000010000000100000000000000000000000000000100010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000100100000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000010001000000000000000000000000000000000000000010000000000000000000010000010000001000000000100000010000000000000110000000000000000000000100000001000000000000000100010000000000000000000000000000000000100010100000000000000001000000000000000000010000000000100000100010001000000000000000000000000010010010000000000000010000000100000000000000000000000000010000000100000001000000010001000000000001000000010000000000000100000000000000100000000000001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,650
0000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000010000100001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000001000000000100000000000100000000010100000000000000000000000000010001000001000000000001000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000100000001000000000000000000000000000000000000000000001000011000000001000000000000001100000000000000000000001101000000000000000000010000000000000000000000000000000000000000000100000000000010001000000000000000000000000000000000000000001000000000000000000000000000000010000000000000010000000100000000000000000000000100000000000000000000000000000001000000000000000000010000000000000000000000000001000000000001000,0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,460
0100100000000000000000000000100001001010010000000000000000000000000001000000000010000000000010000001000000000000100011000000000010000000000000000001000001000000000000000000010000000000000001000000010000000000000000000000000000010000000000000000000000100000001100000000000000000000000100000010001000000000000000000000000000001001000000001001010000000000000010001000101000000101000000000000011000010000000100001000001010001000000000000000000000000000001000000000000000000000000000000000000000000000000001000001000000000000000000000000000000001000000000010000000000100000010001000000000000000001000000000000010000000000000000000000000000001000000000100010000110000000000000000010000000000000000000100001000000000000011000000000000000000000100100100010000000000000000100010000000000000000011000100010000001010001000000000000100001010000000100010000000000000000000000000000000000010000000000010010110100001000000010000100000100000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,892
0000100000000010000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000001000000000000000000000000000000000000000000000001000000000100100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100100001010000000000000000000000000000000000000000000000000000000000010000000000000000100000001000000000000000000000000001000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000010000000001000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000001000000000000100010000000000000001000000000001100000011000000000100000000000000000000000000000000000001001000000010000000001001000010000000000000000000000100000010010001000000000000000000000000010000010000000000100000010000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,665
0000100000000010000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000001000000000000000000000000000001001000000000000001000000000100100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000001010000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000001000000000000000100000001100100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000010000000000000000010000000010000000000000000000000001000000000000100010000000000000001000000000001100000011000000000000000000000000000000000000000000000001001000000010000000001000000010000000000000000000000100000010010001000000000000000000000000010000010000001000100000010000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,700
0000100000000010000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000001000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000001010000000000000000000000000000000000000000000000000000000000010000000000000000110000000000000000000000000000000001000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000100001000000000000000000100000000000000000000010000000000000000000000000010000000000000000000000001000000000000100010000000000000001000000000001110000011000000010000000000000000000000000000000000000001001000000010000000001001000010000000000000000000010100000010010001000000000000000000000000010000010000000000100000010000000000000000000000000010000000000000000000000000000010000000000100000000000000000000000000000000000100000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,710
0000100000000010000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000001010000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000001000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000010001100001000000000000000000000000000000000000000010000000000000000000000000010000100000000000000000001000000000000100010000000000000001000000000001100010011000000010000000000000000000000000000000000000001001000000010000000001001000010000000000000000000000100000010010001000000000000000000000000010000010000000000100000010000000000000000000000000010000000000000000000010000000010000000000100000000000000000000000000000000000100000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,715
0000100000000000000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100100000000000000001000000000000000000000000001000000000000000000000000000000100001000000000000001000000000000000100000001010000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000001000000000000000100000000010100000000000000100000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000010000100101000000000000000000100000000000000000000010000000000000000000000000010000000000000000000000001000000000000100010000000000000001000000000001110000011000000000000000000000000000000000000000000000001001000000010000000001001000010000000000000000000000100000010010001000000000000000000000000000000000000000000100000010000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,715
0000100000000000000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100100000000000000000000000000000000000000000001000000000000000000000000000000100001000000000000001000000000000000100000001010000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000001001000000000000000100000000000100000000000000100000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000010000100001000000000000000000000000000000000000000010000000000000000000000000010000100000000001000000001000000000000100010000000000000001000000000001100000011000000000000000000000000000000000000000000000001001000000010000000001001000010000000000000000000000100000010010101000000000000000000000000000000000000000000100000010000000000000000000000000010000000000000000000010000000010000000000000000000000001000000000000000000000000000000000000000100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,720
0000100000000000000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000010000000000000100100001010000000000000000000010000000000000000000000000000000000000010000000000000000100000001000000000000000000000000001000000000000000100000000000100000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000001010000000000000000000000000100000000000010000000000000000000000000000000000000000000001000001000000000000100000000000000000001000000000001100000000000000000100000000000000000000000000000000000000000000000010000000001001000110000000000000000000000100000010010001000000000000000000000000010000000000000000100000010000000000000000000000000010000000000000000000010100000010000000000100000000000000000000000000000000000000000000000000001100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,725
0000100000000000000010010000100001001000000000000000000000000000100000000000000010001000000000000000000000000000000000000000000000000000000000001001000000000000001000000000100100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000010000000000000100000001010000000000000000000010000000000000000000000000000000000000010000000000000000100000000000000000000000000000000001000000000000000100000000100100000000000000000000000000100000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000001010000000000000000000000000000000000000010000000000000000010000000000000000000000000001000001000000000000100000000000000000001000000000001100000000000000000000000000000000000000000000000000000000000000000010000000001000000110000000000000000000000100000010010001000000000000000000000000010000000000001000100000010000000000000000000000000010000000000000000000010100000010000000000100000000000000000000000000000000000000000000000000001100,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,745
